source_name,source_url,accessed_at_utc,source_type,official_or_secondary,field_name,raw_value,normalized_value,verification_status,cross_check_source,notes
FIFA Match Report,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/korea-republic-czechia-highlights-match-report,2026-07-13T00:00:00Z,match_report,official,match_result,Korea Republic 2-1 Czechia,2-1,verified,,Official article
FIFA Full Time Match Report,https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf,2026-07-13T00:00:00Z,pdf,official,match_duration,90+6 and first-half added time,5940,verified,,Four-page official report
FIFA Match Report,https://www.fifa.com/en/articles/mexico-korea-republic-highlights-match-report,2026-07-13T00:00:00Z,match_report,official,match_result,Mexico 1-0 Korea Republic,1-0,verified,https://www.beinsports.com/en-mena/football/fifa-world-cup-2026/mexico-vs-south-korea-2026-06-18,Duration cross-check only
FIFA Match Report,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/south-africa-korea-republic-match-report-highlights,2026-07-13T00:00:00Z,match_report,official,match_result,South Africa 1-0 Korea Republic,1-0,verified,https://www.cafonline.com/fifa-world-cup/news/south-africa-reach-round-of-32-with-historic-victory-over-south-korea/,Duration cross-check only
