match_id,team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
3857254,776,1,112,646,550,574,11,0,1.566558758,1.566558758,0.057407571000000004,1.424054747,3.0242312369408095,6.925333729243615,-3.9011024923028046,32,12,79,48,57,36,0.14241443254545455,0.027002064615542942,4.953560371517028,10.714285714285714,0.7053571428571429,0.42857142857142855
3857254,777,1,101,417,320,349,13,0,1.0599351179999998,1.0599351179999998,0.014059674,0.9324924840000001,1.3020791614997815,3.2976273004880117,-1.995548138988231,13,7,52,24,42,21,0.0815334706153846,0.012891872886136451,3.117505995203837,6.9306930693069315,0.5148514851485149,0.2376237623762376
3857255,772,1,82,1093,995,942,12,1,0.8577122079999998,0.8577122079999998,0.49311043,0.364601778,2.0436232286336504,11.813291373772746,-9.769668145139095,20,20,121,43,54,28,0.07147601733333332,0.02492223449553232,1.8298261665141813,24.390243902439025,1.475609756097561,0.524390243902439
3857255,778,1,79,253,180,164,6,2,1.157800672,1.157800672,0.103483762,0.92309924,1.2262082981907896,2.4113686885869368,-1.1851603903961472,6,9,27,15,25,13,0.19296677866666667,0.015521624027731514,2.371541501976284,11.39240506329114,0.34177215189873417,0.189873417721519
3857256,773,1,114,445,350,302,14,3,3.1035154719999998,3.1035154719999998,0.77174084,1.872392429,2.5156291871669016,5.316899068778973,-2.8012698816120705,12,25,71,30,53,25,0.22167967657142856,0.022066922694446506,2.696629213483146,21.929824561403507,0.6228070175438597,0.2631578947368421
3857256,786,1,109,521,413,377,12,2,1.189003535,1.189003535,0.730259723,0.299459672,2.6169057126805684,5.606996566247468,-2.9900908535669,22,15,80,34,55,28,0.09908362791666665,0.024008309290647418,4.222648752399232,13.761467889908257,0.7339449541284404,0.3119266055045872
3857257,776,1,113,715,594,609,14,0,0.737154632,0.737154632,0.189986647,0.464997545,2.8157246540296974,7.2865184240321055,-4.470793770002409,25,20,100,56,65,39,0.05265390228571428,0.024917917292298208,3.4965034965034967,17.699115044247787,0.8849557522123894,0.49557522123893805
3857257,792,1,114,350,224,236,8,1,0.469723377,0.469723377,0.17342122,0.14729577900000002,1.43669737377334,3.5605083837330693,-2.123811009959729,13,12,68,30,51,27,0.058715422125,0.012602608541871403,3.7142857142857144,10.526315789473683,0.5964912280701754,0.2631578947368421
3857258,781,1,103,618,541,569,23,2,2.1238895187000004,2.1238895187000004,1.7347272036999999,0.389162315,2.850373437562335,7.560686771733636,-4.7103133341713,33,28,91,56,54,41,0.09234302255217393,0.02767352852002267,5.339805825242718,27.184466019417474,0.883495145631068,0.5436893203883495
3857258,786,1,99,446,351,351,5,0,0.16332714399999998,0.16332714399999998,0.026318645,0.137008499,1.438178906381487,4.110445359905082,-2.672266453523595,12,16,58,22,40,19,0.03266542879999999,0.01452705966041906,2.690582959641256,16.161616161616163,0.5858585858585859,0.2222222222222222
