score_state,outcome,eligible_windows,matches,teams,numerator,denominator,pooled_rate,unweighted_mean,median,q1,q3
leading,pressing_intensity,585,54,28,3668,15405,7.143135345666992,7.708319972975969,7.0588235294117645,5.0,10.0
leading,sequence_regain_efficiency_5s,498,54,28,559,2972,0.18808882907133243,0.20213743195670905,0.16666666666666666,0.0,0.3333333333333333
drawing,pressing_intensity,1213,61,32,7779,32605,7.157491182333998,8.009316387677686,7.105263157894736,5.0,10.0
drawing,sequence_regain_efficiency_5s,1068,61,32,1268,6424,0.19738480697384808,0.2153412901264851,0.2,0.0,0.3333333333333333
trailing,pressing_intensity,581,54,31,3550,14384,7.404060066740824,8.980012299217517,8.181818181818182,5.0,12.0
trailing,sequence_regain_efficiency_5s,488,54,31,599,2891,0.20719474230370113,0.22627579794857622,0.2,0.0,0.3333333333333333
