team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
768,5,471,3238,2822,2686,63,13,8.735856199,7.168856199,1.882396371,4.182502218,10.81150233928793,33.33196411556632,-22.52046177627839,78,88,353,192,228,154,0.13866438411111112,0.02295435740825463,2.4088943792464486,18.683651804670912,0.7494692144373672,0.40764331210191085
770,3,315,1963,1688,1545,68,6,8.2310779317,7.447577931700001,2.6848785260000003,3.4679544097,9.345886979478236,23.84746595725759,-14.501578977779356,81,67,260,176,169,133,0.12104526370147059,0.029669482474534083,4.126337238920021,21.26984126984127,0.8253968253968254,0.5587301587301587
771,7,750,3926,3311,3304,102,16,11.821858183,10.254858183000001,3.424515622,6.228192257,19.098443281871116,46.21510870068487,-27.116665418813756,95,164,541,265,354,204,0.11590057042156862,0.025464591042494822,2.4197656647987773,21.866666666666667,0.7213333333333334,0.35333333333333333
772,4,429,3914,3548,3335,48,9,4.7541272573999995,3.9706272574,1.5777023807000001,2.2292591667,10.32244567829631,40.81857926663337,-30.49613358833706,66,98,429,183,239,138,0.0990443178625,0.024061644937753635,1.6862544711292795,22.843822843822846,1.0,0.42657342657342656
773,4,408,2035,1681,1596,37,5,6.090516355,6.090516355,1.050850958,4.382483693999999,7.975148155785915,20.518595924568253,-12.543447768782338,51,80,249,116,182,97,0.16460855013513515,0.01954693175437724,2.506142506142506,19.607843137254903,0.6102941176470589,0.28431372549019607
776,3,322,1928,1624,1674,35,1,3.192257232,3.192257232,0.269499596,2.5179263130000002,7.55549228833298,19.592927863814975,-12.037435575481993,80,42,256,139,171,104,0.09120734948571428,0.023464261765009254,4.149377593360995,13.043478260869565,0.7950310559006211,0.43167701863354035
777,3,338,1326,1010,1054,32,1,2.4104524489999997,2.4104524489999997,0.569316968,1.683132698,6.399108329557535,13.428732826709894,-7.029624497152358,43,41,192,112,146,91,0.07532663903124999,0.018932273164371405,3.2428355957767727,12.1301775147929,0.5680473372781065,0.33136094674556216
778,4,429,1748,1372,1319,44,5,4.249570514,4.249570514,0.701888982,3.22866756,6.545840564549369,17.259979687471922,-10.714139122922553,61,64,245,125,183,104,0.09658114804545455,0.015258369614334194,3.4897025171624714,14.918414918414918,0.5710955710955711,0.2913752913752914
779,7,768,4615,3960,3885,101,15,13.936942916000001,10.019442916000001,3.769617193,4.981591862,16.660572267787632,48.43108890004689,-31.77051663225925,117,174,549,274,349,204,0.1379895338217822,0.021693453473681814,2.535211267605634,22.65625,0.71484375,0.3567708333333333
780,5,517,3129,2672,2579,66,12,7.3127104283,5.745710428300001,2.2767534626,3.2995485007000003,11.091394952634804,33.83673375180487,-22.74533879917007,98,94,398,223,265,176,0.1107986428530303,0.02145337515016403,3.131991051454139,18.181818181818183,0.769825918762089,0.43133462282398455
781,5,546,3196,2792,2764,95,8,10.502592981200001,9.719092981200001,3.5342468597,5.5633004695,16.52869632553245,38.54014756774133,-22.011451242208874,106,138,406,257,282,195,0.11055361032842106,0.030272337592550276,3.316645807259074,25.274725274725274,0.7435897435897436,0.4706959706959707
782,3,290,1867,1611,1568,35,1,3.6944930278,3.6944930278,1.5293806829999999,1.6551304238000002,7.288842590394609,18.309489519547302,-11.020646929152694,44,53,184,106,138,88,0.10555694365142858,0.02513393996687796,2.3567220139260847,18.275862068965516,0.6344827586206897,0.36551724137931035
783,3,325,1477,1171,1085,33,2,3.2705338566,3.2705338566,1.8018312830000003,1.4687025736000001,6.836434882840195,15.457684750192204,-8.62124986735201,54,39,210,108,147,92,0.09910708656363637,0.021035184254892907,3.6560595802301963,12.0,0.6461538461538462,0.3323076923076923
