tournament_year,matches,wins,draws,losses,goals_for,goals_against,goal_difference,points,leading_minutes,drawing_minutes,trailing_minutes,leading_share,drawing_share,trailing_share
2022,3,1,1,1,4,4,0,4,6.516666666666667,197.88333333333333,91.28333333333333,0.022039343892677976,0.6692407417845668,0.3087199143227552
2026,3,1,0,2,2,3,-1,3,19.0,185.0,87.0,0.06529209621993128,0.6357388316151202,0.29896907216494845
