specification_group,specification_id,model_id,execution_status,coefficient_name,coefficient,standard_error,confidence_interval_lower,confidence_interval_upper,transformed_effect,sample_size,match_count,team_count,convergence_status,warning_flags,unavailable_reason,primary_family,baseline_coefficient,baseline_sample_size,coefficient_sign,sign_consistent_with_primary,magnitude_ratio_to_primary,confidence_interval_width,sample_size_change
primary_five_minute_windows,primary,robust_intensity:primary,executed,score_state[leading],-0.03211925369935344,0.035991177220832594,-0.10266196105218532,0.03842345365347845,0.9683910909729442,2379,64,32,converged,overdispersion,,intensity,-0.03211925369935344,2379.0,negative,True,1.0,0.14108541470566377,0.0
primary_five_minute_windows,primary,robust_intensity:primary,executed,score_state[trailing],0.13513832305166187,0.04770538961309763,0.04163575940999052,0.2286408866933332,1.144695111121934,2379,64,32,converged,overdispersion,,intensity,0.13513832305166187,2379.0,positive,True,1.0,0.18700512728334268,0.0
primary_five_minute_windows,primary,robust_efficiency:primary,executed,score_state[leading],-0.08558904057947112,0.07419462245906103,-0.23101050059923073,0.0598324194402885,0.9179714027094739,2054,64,32,converged,,,efficiency,-0.08558904057947112,2054.0,negative,True,1.0,0.2908429200395192,0.0
primary_five_minute_windows,primary,robust_efficiency:primary,executed,score_state[trailing],0.2309362293995601,0.07705315195620506,0.07991205156539818,0.38196040723372204,1.2597789000307358,2054,64,32,converged,,,efficiency,0.2309362293995601,2054.0,positive,True,1.0,0.3020483556683239,0.0
negative_binomial_overdispersion,negative_binomial,robust_intensity:negative_binomial,executed,score_state[leading],-0.03905724386161084,0.0367213071050793,-0.11103100578756628,0.0329165180643446,0.9616956563975992,2379,64,32,converged,,,intensity,-0.03211925369935344,2379.0,negative,True,1.2160072032556928,0.14394752385191087,0.0
negative_binomial_overdispersion,negative_binomial,robust_intensity:negative_binomial,executed,score_state[trailing],0.1519966943312716,0.04659344411171648,0.060673543872307306,0.2433198447902359,1.1641563881103845,2379,64,32,converged,,,intensity,0.13513832305166187,2379.0,positive,True,1.1247490045674533,0.1826463009179286,0.0
homogeneous_state_segments,segments,robust_intensity:segments,executed,score_state[leading],-0.06910330708813832,0.03553491983969716,-0.13875174997394474,0.0005451357976681143,0.9332302657968263,566,64,32,converged,overdispersion,,intensity,-0.03211925369935344,2379.0,negative,True,2.1514605455957208,0.13929688577161287,-1813.0
homogeneous_state_segments,segments,robust_intensity:segments,executed,score_state[trailing],0.09106214127950865,0.04704734606507788,-0.0011506570080439815,0.18327493956706128,1.0953370687906139,566,64,32,converged,overdispersion,,intensity,0.13513832305166187,2379.0,positive,True,0.6738439490972269,0.18442559657510527,-1813.0
homogeneous_state_segments,segments,robust_efficiency:segments,executed,score_state[leading],-0.13063990527325792,0.07207717195558981,-0.2719111623062139,0.010631351759698121,0.8775337127662637,526,64,32,converged,,,efficiency,-0.08558904057947112,2054.0,negative,True,1.526362538810751,0.282542514065912,-1528.0
homogeneous_state_segments,segments,robust_efficiency:segments,executed,score_state[trailing],0.24611310728785682,0.06939775608568269,0.11009350535991874,0.3821327092157949,1.2790442345848976,526,64,32,converged,,,efficiency,0.2309362293995601,2054.0,positive,True,1.0657189126528868,0.27203920385587615,-1528.0
