match_id,event_id,event_index,period,elapsed_seconds,team_id,opponent_id,red_cards_for_before,red_cards_against_before,red_card_difference_before,players_for_estimated_before,players_against_estimated_before,numerical_state_before,red_cards_for_after,red_cards_against_after,red_card_difference_after,players_for_estimated_after,players_against_estimated_after,numerical_state_after,dismissal_event,dismissed_team_id,dismissed_player_id,dismissal_type,player_on_field_before,numerical_state_changed,discipline_uncertainty_reason,discipline_state_version
3857273,f3d27ab6-1a90-4b45-980d-c9e04d9b3764,2757,2,5023.0,907,797,0,0,0,11,11,even_strength,1,0,-1,10,11,one_player_disadvantage,True,907.0,3488.0,Red Card,True,True,,discipline_on_field_v1
3857280,41a53e16-2c0c-4988-9189-1d7a279f0c8e,3134,2,5574.0,2722,781,0,0,0,11,11,even_strength,1,0,-1,10,11,one_player_disadvantage,True,2722.0,11174.0,Second Yellow,True,True,,discipline_on_field_v1
3869486,f07d957c-b21b-498c-bd77-2df3c440cee5,3237,2,5529.0,788,780,0,0,0,11,11,even_strength,1,0,-1,10,11,one_player_disadvantage,True,788.0,296254.0,Second Yellow,True,True,,discipline_on_field_v1
