specification_id,model_id,coefficient_name,execution_status,sample_size,match_count,team_count,coefficient,standard_error,confidence_interval,transformed_effect,convergence_status,warning_flags,unavailable_reason,baseline_coefficient,baseline_sample_size,coefficient_sign,sign_consistent_with_baseline,magnitude_ratio_to_baseline,sample_size_change
fixed_five_minute_windows,primary_shots,score_state[leading],executed,2780,64,32,-0.08190124065469374,0.07744632801639861,"[-0.23369604356683504, 0.06989356225744754]",0.9213629474047572,converged,,,-0.08190124065469374,2780.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_shots,score_state[trailing],executed,2780,64,32,0.020410493440028835,0.08525961541852503,"[-0.1466983527802802, 0.1875193396603379]",1.020620211950552,converged,,,0.020410493440028835,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_events,score_state[leading],executed,2780,64,32,0.0889682751803099,0.03807792837721738,"[0.014335535560963841, 0.16360101479965597]",1.093045979089669,converged,,,0.0889682751803099,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_events,score_state[trailing],executed,2780,64,32,0.02409703127842907,0.03911947350764671,"[-0.05257713679655849, 0.10077119935341664]",1.0243897109116868,converged,,,0.02409703127842907,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_regains_5s,score_state[leading],executed,2675,64,32,-0.1674069805680009,0.07736392518228785,"[-0.3190402739252851, -0.01577368721071673]",0.8458552946085856,converged,,,-0.1674069805680009,2675.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_regains_5s,score_state[trailing],executed,2675,64,32,0.1466456193368444,0.04837667211109119,"[0.05182734199910566, 0.24146389667458312]",1.1579435375119966,converged,,,0.1466456193368444,2675.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_xg_per_effective_10min,score_state[leading],executed,2780,64,32,0.0458286951583053,0.025991371893916752,"[-0.005114393753771533, 0.09677178407038214]",0.0458286951583053,converged,zero_heavy,,0.0458286951583053,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_xg_per_effective_10min,score_state[trailing],executed,2780,64,32,0.0160894284285365,0.023951653441247736,"[-0.03085581231630906, 0.06303466917338206]",0.0160894284285365,converged,zero_heavy,,0.0160894284285365,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_xt_per_effective_10min,score_state[leading],executed,2780,64,32,-0.02158721293134088,0.012344559289662863,"[-0.045782549139080086, 0.0026081232763983282]",-0.02158721293134088,converged,zero_heavy,,-0.02158721293134088,2780.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_xt_per_effective_10min,score_state[trailing],executed,2780,64,32,0.02916053021743066,0.016619917800302135,"[-0.003414508671161526, 0.06173556910602285]",0.02916053021743066,converged,zero_heavy,,0.02916053021743066,2780.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_mean_pass_length,score_state[leading],executed,2761,64,32,1.1987933480230457,0.42652651249228996,"[0.3628013835381574, 2.034785312507934]",1.1987933480230457,converged,,,1.1987933480230457,2761.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_mean_pass_length,score_state[trailing],executed,2761,64,32,-1.7218907058064938,0.32646877029729526,"[-2.3617694955891926, -1.082011916023795]",-1.7218907058064938,converged,,,-1.7218907058064938,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_pass_directness,score_state[leading],executed,2761,64,32,0.046866524110174265,0.011104430786779154,"[0.025101839768087122, 0.06863120845226141]",0.046866524110174265,converged,,,0.046866524110174265,2761.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_pass_directness,score_state[trailing],executed,2761,64,32,-0.07688310614792317,0.010520973050874488,"[-0.09750421332763716, -0.05626199896820917]",-0.07688310614792317,converged,,,-0.07688310614792317,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_pass_completion_rate,score_state[leading],executed,2761,64,32,-0.042290253346387044,0.05624893226028515,"[-0.15253816057654593, 0.06795765388377184]",0.9585915057969701,converged,,,-0.042290253346387044,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_pass_completion_rate,score_state[trailing],executed,2761,64,32,0.20543247762906752,0.04630397098881077,"[0.11467669449099842, 0.2961882607671366]",1.2280560569056858,converged,,,0.20543247762906752,2761.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_forward_pass_share,score_state[leading],executed,2761,64,32,-0.003779342214765854,0.028694548970357395,"[-0.06002065819666635, 0.052461973767134636]",0.9962277905105231,converged,,,-0.003779342214765854,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_forward_pass_share,score_state[trailing],executed,2761,64,32,-0.08898335649200226,0.02619560569932294,"[-0.14032674366267522, -0.0376399693213293]",0.9148607999407822,converged,,,-0.08898335649200226,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_long_pass_share,score_state[leading],executed,2761,64,32,0.10535505077158305,0.04949953953420632,"[0.008335953284538664, 0.20237414825862743]",1.1111050390318769,converged,,,0.10535505077158305,2761.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_long_pass_share,score_state[trailing],executed,2761,64,32,-0.22187536641113376,0.046308616898310416,"[-0.3126402555318222, -0.13111047729044534]",0.8010151915116748,converged,,,-0.22187536641113376,2761.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_possession_share,score_state[leading],executed,2778,64,32,-0.22554607681626318,0.057470078382180066,"[-0.3381874304453361, -0.11290472318719025]",0.7980802866019576,converged,,,-0.22554607681626318,2778.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_possession_share,score_state[trailing],executed,2778,64,32,0.32921098147823147,0.060397637515714635,"[0.21083161194743077, 0.44759035100903216]",1.3898710617071428,converged,,,0.32921098147823147,2778.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_high_pressure_share,score_state[leading],executed,2675,64,32,-0.17460638954287164,0.0733290306769401,"[-0.3183312896696743, -0.030881489416069025]",0.8397875048676237,converged,,,-0.17460638954287164,2675.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_high_pressure_share,score_state[trailing],executed,2675,64,32,0.2116646442380281,0.0741201570225366,"[0.06638913647385636, 0.35694015200219986]",1.2357334052655744,converged,,,0.2116646442380281,2675.0,positive,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_regain_5s_rate,score_state[leading],executed,2675,64,32,-0.21092468079811,0.09877095149629024,"[-0.40451574573083887, -0.017333615865381125]",0.8098350607146796,converged,,,-0.21092468079811,2675.0,negative,True,1.0,0.0
fixed_five_minute_windows,primary_pressure_regain_5s_rate,score_state[trailing],executed,2675,64,32,0.1846808047152942,0.06174556705421254,"[0.06365949328903761, 0.30570211614155074]",1.2028344397639485,converged,,,0.1846808047152942,2675.0,positive,True,1.0,0.0
fixed_five_minute_windows,attacking_substitution,,unavailable,0,0,0,,,"[nan, nan]",,not_run,,incoming_positions_not_available,,,,,,
fixed_five_minute_windows,defensive_substitution,,unavailable,0,0,0,,,"[nan, nan]",,not_run,,incoming_positions_not_available,,,,,,
fixed_five_minute_windows,goalkeeper_substitution,,unavailable,0,0,0,,,"[nan, nan]",,not_run,,insufficient_positive_events,,,,,,
homogeneous_state_segments,primary_shots,score_state[leading],executed,626,64,32,-0.17934107183982684,0.0851539954173487,"[-0.34624290285783027, -0.012439240821823405]",0.8358207758462092,converged,,,-0.08190124065469374,2780.0,negative,True,2.189723506093785,-2154.0
