match_id,team_id,opponent_id,pressure_events,pressure_sequences,counterpress_events,high_pressure_events,pressure_events_per_30_opponent_passes,pressure_events_per_100_opponent_actions,pressure_events_per_opponent_possession,eligible_opponent_possession_seconds,pressure_events_per_opponent_possession_minute,mean_pressure_height,median_pressure_height,pressure_regain_3s_rate,pressure_regain_5s_rate,pressure_regain_8s_rate,sequence_regain_3s_rate,sequence_regain_5s_rate,sequence_regain_8s_rate,high_regains,shots_after_pressure_regain_10s,shots_after_pressure_regain_15s,xg_after_pressure_regains,xt_after_pressure_regains,valid_pressure_360_events,pressure_360_coverage_rate
3857276,1833,788,135,113,39,65,27.551020408163264,9.171195652173914,1.7088607594936709,949.0,8.535300316122234,60.37111111111111,61.8625,0.17037037037037037,0.25925925925925924,0.3037037037037037,0.19469026548672566,0.25663716814159293,0.3008849557522124,11,1,2,0.090786178,,111,1.0
3857276,788,1833,154,123,19,39,32.30769230769231,8.037578288100208,1.6923076923076923,1487.0,6.213853396099529,44.0278409090909,38.89375,0.11688311688311688,0.16883116883116883,0.18831168831168832,0.13008130081300814,0.14634146341463414,0.17073170731707318,5,0,0,0.09711841,,118,1.0
3857271,768,797,101,79,32,48,41.50684931506849,9.805825242718447,1.5303030303030303,758.0,7.994722955145119,58.27240099009903,62.125,0.22772277227722773,0.3069306930693069,0.37623762376237624,0.26582278481012656,0.31645569620253167,0.4050632911392405,9,0,0,0.5795120500000001,,90,1.0
3857271,797,768,141,123,22,43,16.3953488372093,5.383734249713632,1.6987951807228916,1671.0,5.062836624775583,47.43058510638298,44.625,0.04964539007092199,0.05673758865248227,0.07092198581560284,0.04878048780487805,0.04878048780487805,0.06504065040650407,4,1,1,0.06202265,,136,1.0
3857296,785,782,164,136,25,64,23.098591549295776,7.961165048543689,2.2777777777777777,1308.0,7.522935779816514,53.20693597560975,55.5625,0.1524390243902439,0.20121951219512196,0.24390243902439024,0.16176470588235295,0.20588235294117646,0.2647058823529412,7,0,0,0.024362085,,148,1.0
3857296,782,785,119,106,25,33,17.246376811594203,5.787937743190661,1.3076923076923077,1600.0,4.4624999999999995,47.37867647058823,54.1625,0.1092436974789916,0.14285714285714285,0.18487394957983194,0.11320754716981132,0.14150943396226415,0.1792452830188679,3,0,0,0.5974898559999999,,106,1.0
3857274,941,3565,135,109,23,37,30.0,7.903981264637003,1.5,1194.0,6.78391959798995,49.628055555555555,50.4,0.1925925925925926,0.2222222222222222,0.24444444444444444,0.22018348623853212,0.24770642201834864,0.27522935779816515,7,1,1,0.104464025,,116,1.0
3857274,3565,941,170,134,36,56,28.8135593220339,9.164420485175203,2.0987654320987654,1337.0,7.6290201944652205,51.648676470588235,49.65625,0.17647058823529413,0.21176470588235294,0.2647058823529412,0.16417910447761194,0.20149253731343283,0.2462686567164179,8,2,3,1.3101026770000002,,150,1.0
3857255,778,772,229,195,20,47,22.748344370860927,6.771141336487285,3.0945945945945947,1639.0,8.383160463697376,46.259989082969426,40.25,0.0611353711790393,0.08733624454148471,0.11790393013100436,0.06666666666666667,0.09230769230769231,0.11282051282051282,4,3,3,0.22611667200000002,,210,1.0
3857255,772,778,89,75,31,42,23.628318584070797,8.333333333333332,1.5344827586206897,548.0,9.744525547445257,58.436235955056176,61.6875,0.3707865168539326,0.4606741573033708,0.47191011235955055,0.36,0.4666666666666667,0.4666666666666667,14,2,2,0.541966878,,75,1.0
3857272,768,1839,103,88,26,38,17.262569832402235,6.303549571603427,1.4507042253521127,1162.0,5.3184165232358005,53.95946601941748,53.9875,0.11650485436893204,0.1650485436893204,0.1941747572815534,0.125,0.17045454545454544,0.19318181818181818,3,0,0,0.009332121,,96,1.0
3857272,1839,768,157,130,18,35,34.130434782608695,8.328912466843502,2.343283582089552,1231.0,7.652315190901707,44.3875796178344,46.6375,0.07643312101910828,0.1337579617834395,0.1910828025477707,0.07692307692307693,0.14615384615384616,0.2076923076923077,4,0,1,0.09050681899999999,,141,1.0
3857278,797,1839,150,123,23,39,27.950310559006212,8.086253369272237,1.6304347826086956,1528.0,5.890052356020942,44.15658333333334,38.5875,0.12,0.13333333333333333,0.15333333333333332,0.13821138211382114,0.15447154471544716,0.1951219512195122,4,0,0,,,128,1.0
3857278,1839,797,140,114,28,41,21.31979695431472,8.0413555427915,1.5384615384615385,1353.0,6.208425720620842,50.564375,46.462500000000006,0.12142857142857143,0.19285714285714287,0.22142857142857142,0.13157894736842105,0.19298245614035087,0.22807017543859648,8,1,1,0.045798708,,116,1.0
3857277,788,785,168,138,33,52,21.0,7.5641602881584875,1.826086956521739,1623.0,6.210720887245841,50.842187499999994,50.3125,0.125,0.15476190476190477,0.17857142857142858,0.12318840579710146,0.15942028985507245,0.18115942028985507,5,1,1,0.24283892299999998,,154,1.0
3857277,785,788,107,94,24,34,19.69325153374233,7.142857142857142,1.4266666666666667,1082.0,5.933456561922365,51.025584112149545,54.1625,0.17757009345794392,0.2616822429906542,0.3364485981308411,0.18085106382978725,0.2765957446808511,0.35106382978723405,4,2,2,0.45753605999999997,,97,1.0
3857273,907,797,90,85,26,44,22.314049586776857,7.171314741035857,1.1538461538461537,1067.0,5.060918462980318,56.87597222222222,62.08125,0.18888888888888888,0.2777777777777778,0.35555555555555557,0.2,0.2823529411764706,0.3764705882352941,10,0,0,,,80,1.0
3857273,797,907,161,136,29,51,25.69148936170213,8.572949946751864,1.6770833333333333,1550.0,6.232258064516129,47.13695652173913,44.8,0.09316770186335403,0.14906832298136646,0.18012422360248448,0.10294117647058823,0.15441176470588236,0.19117647058823528,4,4,6,0.863670449,,142,1.0
3857275,777,771,110,99,15,29,23.404255319148938,4.99092558983666,1.134020618556701,1705.0,3.8709677419354835,49.272045454545456,44.14375,0.12727272727272726,0.17272727272727273,0.23636363636363636,0.1414141414141414,0.18181818181818182,0.23232323232323232,6,2,3,0.180963553,,96,1.0
3857275,771,777,94,87,21,29,42.08955223880597,6.911764705882353,1.0804597701149425,982.0,5.743380855397149,47.96768617021277,47.075,0.10638297872340426,0.18085106382978725,0.24468085106382978,0.12643678160919541,0.20689655172413793,0.27586206896551724,3,1,2,0.182011003,,89,1.0
