model_id,outcome,model_family,formula,reference_category,dataset_unit,offset,weights,fixed_effects,cluster_variable,coefficient_name,coefficient,standard_error,confidence_interval_lower,confidence_interval_upper,p_value,incidence_rate_ratio,odds_ratio,adjusted_difference,sample_size,match_count,team_count,convergence_status,execution_status,warning_flags,unavailable_reason
primary_long_pass_share,long_pass_share,grouped_binomial_logit,long_pass_share ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,long_pass_share_denominator,team_id,match_id,score_state[trailing],-0.22187536641113376,0.046308616898310416,-0.3126402555318222,-0.13111047729044534,,,0.8010151915116748,,2761,64,32,converged,executed,,
primary_possession_share,possession_share,fractional_logit,possession_share ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,possession_share_denominator,team_id,match_id,score_state[leading],-0.22554607681626318,0.057470078382180066,-0.3381874304453361,-0.11290472318719025,,,0.7980802866019576,,2778,64,32,converged,executed,,
primary_possession_share,possession_share,fractional_logit,possession_share ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,possession_share_denominator,team_id,match_id,score_state[trailing],0.32921098147823147,0.060397637515714635,0.21083161194743077,0.44759035100903216,,,1.3898710617071428,,2778,64,32,converged,executed,,
primary_high_pressure_share,high_pressure_share,grouped_binomial_logit,high_pressure_share ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,high_pressure_share_denominator,team_id,match_id,score_state[leading],-0.17460638954287164,0.0733290306769401,-0.3183312896696743,-0.030881489416069025,,,0.8397875048676237,,2675,64,32,converged,executed,,
primary_high_pressure_share,high_pressure_share,grouped_binomial_logit,high_pressure_share ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,high_pressure_share_denominator,team_id,match_id,score_state[trailing],0.2116646442380281,0.0741201570225366,0.06638913647385636,0.35694015200219986,,,1.2357334052655744,,2675,64,32,converged,executed,,
primary_pressure_regain_5s_rate,pressure_regain_5s_rate,grouped_binomial_logit,pressure_regain_5s_rate ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,pressure_regain_5s_rate_denominator,team_id,match_id,score_state[leading],-0.21092468079811,0.09877095149629024,-0.40451574573083887,-0.017333615865381125,,,0.8098350607146796,,2675,64,32,converged,executed,,
primary_pressure_regain_5s_rate,pressure_regain_5s_rate,grouped_binomial_logit,pressure_regain_5s_rate ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,pressure_regain_5s_rate_denominator,team_id,match_id,score_state[trailing],0.1846808047152942,0.06174556705421254,0.06365949328903761,0.30570211614155074,,,1.2028344397639485,,2675,64,32,converged,executed,,
attacking_substitution,attacking_substitution,binomial,,drawing,team_window_5min,,,team_id,match_id,,,,,,,,,,0,0,0,not_run,unavailable,,incoming_positions_not_available
defensive_substitution,defensive_substitution,binomial,,drawing,team_window_5min,,,team_id,match_id,,,,,,,,,,0,0,0,not_run,unavailable,,incoming_positions_not_available
goalkeeper_substitution,goalkeeper_substitutions,binomial,,drawing,team_window_5min,,,team_id,match_id,,,,,,,,,,0,0,0,not_run,unavailable,,insufficient_positive_events
