match_id,team_id,opponent_id,period,window_index,interval_start,interval_end,wall_clock_seconds,effective_play_seconds,event_count,team_action_count,opponent_action_count,possession_seconds,opponent_possession_seconds,goal_difference_start,goal_difference_end,red_card_difference_start,red_card_difference_end,time_leading_seconds,time_drawing_seconds,time_trailing_seconds,time_numerical_advantage_seconds,time_even_strength_seconds,time_numerical_disadvantage_seconds,time_numerical_unknown_seconds,score_state_start,score_state_end,score_state_majority,score_state_majority_tied,numerical_state_start,numerical_state_end,numerical_state_majority,numerical_state_majority_tied,multiple_score_states,multiple_numerical_states,effective_time_method,effective_time_gap_cap_seconds,effective_time_capped_seconds,effective_time_uncertainty,possessions,passes,completed_passes,carries,dribbles,shots,goals,pressure_events,pressure_sequences,counterpress_events,high_pressure_events,pressure_regains_3s,pressure_regains_5s,pressure_regains_8s,sequence_regains_3s,sequence_regains_5s,sequence_regains_8s,substitutions,goalkeeper_substitutions,unknown_substitutions,tactical_shifts,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,pressure_regain_3s_rate,pressure_regain_5s_rate,pressure_regain_8s_rate
3857254,776,777,2,2,3300.0,3600.0,300.0,300.0,265,139,126,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,0.0,event_derived_not_tracking,5,42,41,39,1,1,0,6,6,1,3,1,2,2,1,2,2,0,0,0,0,0.25651878,0.25651878,0.0,0.25651878,0.16666666666666666,0.3333333333333333,0.3333333333333333
3857254,776,777,2,3,3600.0,3900.0,300.0,294.0,206,69,137,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,6.0,event_derived_not_tracking,13,19,15,15,0,0,0,6,5,3,3,0,0,2,0,0,2,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
3857254,776,777,2,4,3900.0,4200.0,300.0,282.0,199,136,63,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,18.0,event_derived_not_tracking,8,43,36,36,0,3,0,7,7,5,5,2,3,4,2,3,4,0,0,0,1,0.92475792,0.92475792,0.08509644,0.83966148,0.2857142857142857,0.42857142857142855,0.5714285714285714
3857254,776,777,2,5,4200.0,4500.0,300.0,265.0,156,101,55,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,35.0,event_derived_not_tracking,11,30,27,29,1,0,0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
3857254,776,777,2,6,4500.0,4800.0,300.0,263.0,143,85,58,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,37.0,event_derived_not_tracking,9,25,21,23,0,1,0,5,4,1,3,0,1,3,0,1,2,0,0,0,0,0.02872357,0.02872357,0.02872357,0.0,0.0,0.2,0.6
3857254,776,777,2,7,4800.0,5100.0,300.0,285.0,161,118,43,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,15.0,event_derived_not_tracking,6,38,35,33,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3857254,776,777,2,8,5100.0,5400.0,300.0,295.0,205,123,82,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,5.0,event_derived_not_tracking,10,36,31,33,2,0,0,4,4,1,2,0,1,2,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
3857254,776,777,2,9,5400.0,5700.0,300.0,207.0,66,32,34,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,93.0,event_derived_not_tracking,6,11,6,6,2,2,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.17407834100000003,0.17407834100000003,0.028684001,0.14539434,0.0,0.0,1.0
3857254,776,777,2,10,5700.0,5856.0,156.0,155.0,55,36,19,,,0,0,0,0,0.0,156.0,0.0,0.0,156.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,1.0,event_derived_not_tracking,6,10,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022084296,0.022084296,0.0,0.022084296,,,
3857254,777,776,1,0,0.0,300.0,300.0,299.0,237,109,128,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,1.0,event_derived_not_tracking,11,28,23,26,1,2,0,10,9,3,4,2,2,3,2,2,3,0,0,0,0,0.037879668,0.037879668,0.014059674,0.023819994,0.2,0.2,0.3
3857254,777,776,1,1,300.0,600.0,300.0,300.0,212,112,100,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,0.0,event_derived_not_tracking,9,34,29,28,0,0,0,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3857254,777,776,1,2,600.0,900.0,300.0,271.0,165,106,59,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,29.0,event_derived_not_tracking,10,32,25,24,0,2,0,4,4,1,1,0,1,1,0,1,1,0,0,0,0,0.076775644,0.076775644,0.0,0.076775644,0.0,0.25,0.25
3857254,777,776,1,3,900.0,1200.0,300.0,295.0,189,100,89,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,5.0,event_derived_not_tracking,9,31,25,22,2,0,0,8,7,1,1,0,1,2,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.125,0.25
3857254,777,776,1,4,1200.0,1500.0,300.0,260.0,129,51,78,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,40.0,event_derived_not_tracking,8,9,6,8,1,0,0,5,5,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
3857254,777,776,1,5,1500.0,1800.0,300.0,300.0,236,79,157,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,0.0,event_derived_not_tracking,12,20,14,15,0,0,0,10,7,0,4,1,3,3,1,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.3,0.3
3857254,777,776,1,6,1800.0,2100.0,300.0,283.0,210,58,152,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,17.0,event_derived_not_tracking,9,11,8,11,2,0,0,10,10,1,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
3857254,777,776,1,7,2100.0,2400.0,300.0,280.0,226,65,161,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,20.0,event_derived_not_tracking,8,17,13,15,0,2,0,6,4,1,0,2,2,2,2,2,2,0,0,0,0,0.113195476,0.113195476,0.0,0.113195476,0.3333333333333333,0.3333333333333333,0.3333333333333333
3857254,777,776,1,8,2400.0,2700.0,300.0,277.0,108,66,42,,,0,0,0,0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,drawing,drawing,drawing,False,even_strength,even_strength,even,False,False,False,event_gap_cap_v1,30.0,23.0,event_derived_not_tracking,10,18,14,13,1,2,0,3,3,2,0,1,1,1,1,1,1,0,0,0,0,0.525231192,0.525231192,0.0,0.525231192,0.3333333333333333,0.3333333333333333,0.3333333333333333
